,customer.id,bikeshop.name,location
0,1,Pittsburgh Mountain Machines,"Pittsburgh, PA"
1,2,Ithaca Mountain Climbers,"Ithaca, NY"
2,3,Columbus Race Equipment,"Columbus, OH"
3,4,Detroit Cycles,"Detroit, MI"
4,5,Cincinnati Speed,"Cincinnati, OH"
5,6,Louisville Race Equipment,"Louisville, KY"
6,7,Nashville Cruisers,"Nashville, TN"
7,8,Denver Bike Shop,"Denver, CO"
8,9,Minneapolis Bike Shop,"Minneapolis, MN"
9,10,Kansas City 29ers,"Kansas City, KS"
10,11,New York Cycles,"New York, NY"
11,12,Dallas Cycles,"Dallas, TX"
12,13,Oklahoma City Race Equipment,"Oklahoma City, OK"
13,14,Albuquerque Cycles,"Albuquerque, NM"
14,15,Austin Cruisers,"Austin, TX"
15,16,Phoenix Bi-peds,"Phoenix, AZ"
16,17,Las Vegas Cycles,"Las Vegas, NV"
17,18,Los Angeles Cycles,"Los Angeles, CA"
18,19,San Francisco Cruisers,"San Francisco, CA"
19,20,Portland Bi-peds,"Portland, OR"
20,21,Seattle Race Equipment,"Seattle, WA"
21,22,Ann Arbor Speed,"Ann Arbor, MI"
22,23,Philadelphia Bike Shop,"Philadelphia, PA"
23,24,Providence Bi-peds,"Providence, RI"
24,25,New Orleans Velocipedes,"New Orleans, LA"
25,26,Miami Race Equipment,"Miami, FL"
26,27,San Antonio Bike Shop,"San Antonio, TX"
27,28,Wichita Speed,"Wichita, KS"
28,29,Indianapolis Velocipedes,"Indianapolis, IN"
29,30,Tampa 29ers,"Tampa, FL"
